Supplementary Table 9b: KEGG Orthology in all metabolic pathways of metagenome.									
Functional category	ZH11: mean rel. freq. (%)	ZH11: std. dev. (%)	nrt1.1b: mean rel. freq. (%)	nrt1.1b: std. dev. (%)	p-values	p-values (corrected)	Difference between means	95.0% lower CI	95.0% upper CI
Amino acid metabolism	0.147985468376992	0.00501106704862375	0.158276194298934	0.000286509739747362	0.070288382527636	1	-0.0102907259219412	-0.0226819458952211	0.00210049405133863
Biosynthesis of other secondary metabolites	0.0265489528802115	0.000536841436142546	0.0274858377236706	0.000450072864156193	0.083463759185859	1	-0.000936884843459117	-0.00207345990558413	0.000199690218665891
Carbohydrate metabolism	0.204142563373358	0.00536302717255931	0.208476976306591	0.000643751209875052	0.295836474126341	1	-0.00433441293323295	-0.0173988114719649	0.00872998560549905
Cell growth and death	0.0126469641782485	0.000618566483526205	0.0114851118581634	0.000200025820853342	0.0711667520131408	1	0.0011618523200851	-0.00021478141171378	0.00253848605188398
Cell motility	0.00646956638347015	9.30E+09	0.00567023247587726	0.000123684194634077	0.0012068396727703	0.0253436331281762	0.000799333907592888	0.000543537107103614	0.00105513070808216
Energy metabolism	0.0875938571176995	0.00163473985810922	0.0888884141170294	0.00179868183681559	0.408908142711653	1	-0.00129455699932995	-0.00520469141812022	0.00261557741946031
Folding, sorting and degradation	0.0103210852491075	0.000480560661711053	0.0117457096679826	0.000151462136004501	0.0270458554767732	0.459779543105145	-0.00142462441887506	-0.00249838914505559	-0.000350859692694526
Glycan biosynthesis and metabolism	0.0162858717112162	0.000575387195452142	0.0185654280672045	0.000166544106575656	0.0148194763376133	0.266750574077039	-0.00227955635598832	-0.00358156580423909	-0.000977546907737547
Infectious diseases	0.0486869759653467	0.00348181951726219	0.0444434407920295	0.000929241501483258	0.162162067871137	1	0.00424353517331725	-0.00372352820651765	0.0122105985531521
Lipid metabolism	0.0622628581410817	0.00209770852374087	0.0629201153173199	0.00262621710401699	0.752661160529879	1	-0.000657257176238206	-0.00615051106546353	0.00483599671298712
Membrane transport	0.0145460568650375	0.000649392675853067	0.0141877879542609	0.00049566172925808	0.492551831920927	1	0.000358268910776647	-0.000987994758007821	0.00170453257956112
Metabolism of cofactors and vitamins	0.0676748918876177	0.000917940092963052	0.062979817954227	0.000695327944374153	0.00275541372136096	0.0551082744272192	0.00469507393339071	0.00279450184180563	0.00659564602497578
Metabolism of other amino acids	0.0244066814419143	0.000447947819255383	0.0242242109779527	0.000563241067272346	0.684307712518666	1	0.000182470463961606	-0.000994540838288889	0.0013594817662121
Metabolism of terpenoids and polyketides	0.01795292950077	0.0017181366633041	0.0157583179985072	0.000628115274561784	0.146171284519397	1	0.00219461150226272	-0.00155401995224451	0.00594324295676995
Nucleotide metabolism	0.03494341199116	0.00131787717446352	0.0356985561203822	0.00091818601502772	0.466257283416412	1	-0.000755144129222202	-0.00345640795392981	0.00194611969548541
Replication and repair	0.00602953902936014	0.000261624378983358	0.00611430985156369	0.000255471384550676	0.708566902847662	1	-8.48E+09	-0.00067106039777997	0.000501518753372865
Signal transduction	0.0604794694345533	0.000400887003902998	0.0594459153383557	0.000925841671929956	0.183304131787489	1	0.0010335540961976	-0.000930898078975129	0.00299800627137034
Transcription	0.00655023408849903	0.00206389471073129	0.00445644137634513	0.000222390981732246	0.219894373079707	1	0.0020937927121539	-0.00295235925755224	0.00713994468186005
Translation	0.00957653538780337	0.00037002048095778	0.00921760171339382	0.000368941064697775	0.29992472813735	1	0.000358933674409548	-0.000478667408488819	0.00119653475730791
Transport and catabolism	0.0254155495764598	0.000971670416694996	0.0264041312131889	0.000244935952170445	0.21539798329464	1	-0.000988581636729054	-0.00322814398881923	0.00125098071536112
Xenobiotics biodegradation and metabolism	0.0458514031872317	0.000645410104507614	0.0434532999246178	0.000354694459326602	0.0100288567061247	0.19054827741637	0.00239810326261392	0.00107096274300258	0.00372524378222525
