Supplementary Table 9: KEGG Orthology of metagenomes in ZH11 and the nrt1.1b mutant.																
Supplementary Table 9a: KEGG Orthology in the nitrogen cycle of metagenome.																
KO	ZH11Rep1	ZH11Rep2	ZH11Rep3	nrt1.1bRep1	nrt1.1bRep2	nrt1.1bRep3	Description	ZH11: mean rel. freq. (%)	ZH11: std. dev. (%)	nrt1.1b: mean rel. freq. (%)	nrt1.1b: std. dev. (%)	p-values	p-values (corrected)	Difference between means	95.0% lower CI	95.0% upper CI
K00284	0.000210724	0.000215131	0.000235042	0.000316914	0.000319543	0.000339122	E1.4.7.1; glutamate synthase (ferredoxin) [EC:1.4.7.1]	4.54630336	0.209637756	7.494495583	0.252971507	0.000270843	0.003611243	-2.948192223	-3.602077319	-2.294307127
K00262	0.000151814	0.000162832	0.000194836	0.000244475	0.000265314	0.000244772	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	3.500433751	0.331619078	5.798107331	0.275273146	0.001891187	0.012607914	-2.29767358	-3.155229125	-1.440118034
K02575	0.000157665	0.000176701	0.000128565	0.000295484	0.000284136	0.000241286	NRT, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter	3.184771446	0.402097475	6.304386547	0.522731563	0.003249912	0.014444056	-3.119615101	-4.448660491	-1.790569711
K15577	5.39E-05	7.23E-05	7.39E-05	2.72E-05	2.13E-05	2.99E-05	nrtB, nasE, cynB; nitrate/nitrite transport system permease protein	1.370864656	0.144414604	0.601747133	0.07988423	0.006293761	0.018802751	0.769117522	0.405629476	1.132605568
K15864	3.46E-06	2.67E-06	3.43E-06	1.08E-06	6.09E-07	5.81E-07	nirS; nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	0.066020455	0.009407277	0.017391043	0.005087892	0.007051032	0.018802751	0.048629412	0.024902767	0.072356057
K15578	5.56E-05	7.29E-05	8.10E-05	2.91E-05	2.29E-05	3.48E-05	nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]	1.435345869	0.180837444	0.666275372	0.10993535	0.011244678	0.024988173	0.769070496	0.316453524	1.221687468
K00261	8.98E-05	7.23E-05	0.000144101	0.00020854	0.000188699	0.00017798	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	2.107304578	0.62149329	4.416585779	0.26077497	0.021599145	0.027256123	-2.309281201	-3.932540151	-0.686022251
K00266	0.000255012	0.000293494	0.000301284	0.000284115	0.000281182	0.000303135	gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	5.835774337	0.244339695	6.67090989	0.231724671	0.024846226	0.027256123	-0.835135553	-1.496982757	-0.173288349
K00372	0.000131576	0.000125673	0.00016716	0.000192998	0.00017811	0.00017104	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	2.919859808	0.372734056	4.163065174	0.181652964	0.025700694	0.027256123	-1.243205365	-2.194888934	-0.291521797
K01455	0.000104222	0.000110715	8.23E-05	0.000138356	0.00013108	0.000123131	E3.5.1.49; formamidase [EC:3.5.1.49]	2.04665742	0.263221481	3.014772494	0.128478625	0.019905558	0.027256123	-0.968115074	-1.640046099	-0.296184049
K02568	3.40E-05	4.84E-05	6.03E-05	1.36E-05	7.07E-06	3.42E-06	napB; cytochrome c-type protein NapB	0.976144166	0.200204128	0.18437767	0.095119444	0.016787537	0.027256123	0.791766496	0.278784381	1.304748612
K15371	0.000214466	0.000313144	0.000190347	4.67E-05	3.25E-05	3.78E-05	GDH2; glutamate dehydrogenase [EC:1.4.1.2]	4.919345834	0.976127517	0.897415882	0.125771182	0.02657472	0.027256123	4.021929952	1.117900909	6.925958995
K15576	9.03E-05	0.000134242	9.54E-05	3.24E-05	2.37E-05	3.40E-05	nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein	2.190696444	0.337763404	0.691365142	0.100127202	0.017838061	0.027256123	1.499331302	0.566479371	2.432183234
K02567	5.68E-05	7.56E-05	0.000108031	2.56E-05	1.69E-05	6.59E-06	napA; periplasmic nitrate reductase NapA [EC:1.7.99.-]	1.645429648	0.407399592	0.37614268	0.176155406	0.032600922	0.031048497	1.269286968	0.210354567	2.328219368
K00260	4.92E-05	7.17E-05	8.62E-05	8.69E-05	0.000113781	0.000131661	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]	1.41637173	0.280621074	2.555731287	0.438397	0.045189691	0.040168614	-1.139359557	-2.235949808	-0.042769306
K00363	9.40E-05	8.45E-05	5.08E-05	2.54E-05	2.18E-05	3.32E-05	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]	1.585131655	0.416331433	0.617362078	0.108926546	0.072983991	0.057313012	0.967769577	-0.201993408	2.137532561
K00376	1.77E-05	9.77E-06	1.19E-05	6.40E-06	3.09E-06	3.45E-06	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	0.273637015	0.080722587	0.099080527	0.033047612	0.076385026	0.057313012	0.174556488	-0.037131149	0.386244125
K00459	0.00020574	0.000228525	0.000222426	0.000223911	0.000213886	0.000202807	ncd2, npd; nitronate monooxygenase [EC:1.13.12.16]	4.513321181	0.032671352	4.919805677	0.175620899	0.077372566	0.057313012	-0.406484497	-0.917640147	0.104671153
K01673	0.000391425	0.000360111	0.000337157	0.000358993	0.000401427	0.000367305	cynT, can; carbonic anhydrase [EC:4.2.1.1]	7.50808605	0.711256856	8.666599593	0.504014818	0.141168417	0.094112278	-1.158513543	-2.946685772	0.629658686
K02591	1.12E-05	6.22E-06	1.17E-05	6.25E-06	3.58E-06	4.80E-06	nifK; nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	0.201709458	0.055245986	0.112133309	0.02400519	0.135144044	0.094112278	0.089576149	-0.053909753	0.233062051
K00367	9.27E-06	7.07E-06	1.38E-06	5.57E-07	6.53E-07	1.90E-07	narB; ferredoxin-nitrate reductase [EC:1.7.7.2]	0.12331033	0.07174607	0.010759227	0.004626425	0.156213595	0.097078352	0.112551103	-0.104465284	0.32956749
K04561	5.79E-05	3.59E-05	1.59E-05	1.06E-05	5.11E-06	7.48E-06	norB; nitric oxide reductase subunit B [EC:1.7.2.5]	0.7648982	0.382814544	0.177623712	0.049957345	0.160179281	0.097078352	0.587274489	-0.550992492	1.725541469
K03385	2.54E-05	3.18E-05	8.24E-05	1.44E-05	8.73E-06	4.03E-06	nrfA; nitrite reductase (cytochrome c-552) [EC:1.7.2.2]	0.953944487	0.513179257	0.208034244	0.095844765	0.172355377	0.099916161	0.745910243	-0.74726007	2.239080556
K20932	1.68E-06	1.34E-06	4.09E-07	2.31E-07	2.98E-07	4.20E-07	K20932; hydrazine synthase subunit [EC:1.7.2.7]	0.023815221	0.011664382	0.0072976	0.001827688	0.180468524	0.100260291	0.016517621	-0.017840353	0.050875595
K01725	3.14E-05	2.92E-05	1.04E-05	1.01E-05	8.99E-06	1.38E-05	cynS; cyanate lyase [EC:4.2.1.104]	0.491352398	0.201958547	0.252587079	0.047277635	0.232799577	0.115391921	0.238765319	-0.336308254	0.813838892
K01915	0.000648424	0.000756474	0.000492786	0.00046772	0.000424143	0.000456104	glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	13.0509723	2.16706984	10.35065206	0.331736509	0.218012308	0.115391921	2.700320238	-3.691655065	9.092295542
K05601	3.28E-05	4.24E-05	0.000114162	2.57E-05	1.68E-05	1.59E-05	hcp; hydroxylamine reductase [EC:1.7.99.1]	1.293365368	0.731475572	0.447729758	0.097392197	0.242323035	0.115391921	0.84563561	-1.327408897	3.018680116
K15579	1.36E-07	0	9.41E-08	1.57E-08	0	1.13E-08	nrtD, cynD; nitrate/nitrite transport system ATP-binding protein	0.001622567	0.001223198	0.000205947	0.00015242	0.241897804	0.115391921	0.00141662	-0.002227494	0.005060734
